#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 900.000043 -2.369993 2.769514 -0.304666
 905.000043 -2.506157 2.729821 -0.216622
 910.000043 -2.521809 2.321120 0.022404
 915.000043 -2.643048 3.003026 -0.462327
 920.000044 -1.200375 2.099730 -0.147495
 925.000044 -2.431220 2.514656 0.093143
 930.000044 -2.733049 2.976551 -0.312686
 935.000044 -2.507694 2.818043 -0.084932
 940.000045 -1.139964 0.182918 -0.048729
 945.000045 -2.081219 2.814869 -0.230252
 950.000045 -2.205135 3.040058 -0.294929
 955.000045 -2.226907 2.593494 -0.118777
 960.000046 -1.149227 2.651670 -0.002781
 965.000046 -1.327897 2.145328 0.064021
 970.000046 -1.832076 1.369673 -0.056312
 975.000046 -1.278288 2.283535 -0.197813
 980.000047 -1.387914 0.440858 0.027697
 985.000047 -1.273935 0.446505 0.247084
 990.000047 -2.497881 2.966704 0.260856
 995.000047 -1.397966 1.118584 -0.046249
 1000.000047 -1.483594 0.637854 0.261141
 1005.000048 -1.713789 0.739832 0.009450
 1010.000048 -1.310505 0.828067 0.105770
 1015.000048 -1.700458 1.132518 -0.003612
 1020.000048 -1.520845 0.873836 -0.045985
 1025.000049 -1.446978 1.284603 0.011676
 1030.000049 -1.299962 1.030494 0.241976
 1035.000049 -2.426925 2.789788 0.183773
 1040.000049 -3.031271 2.524983 -0.064350
 1045.000050 -1.493997 0.601024 0.079241
 1050.000050 -1.560042 1.148925 0.241147
 1055.000050 -2.346636 2.132377 0.100264
 1060.000050 -2.537159 -0.094075 0.040809
 1065.000051 -2.435472 2.808319 0.106970
 1070.000051 -2.485411 2.878887 -0.508573
 1075.000051 -1.089481 0.946578 -0.173444
 1080.000051 -1.447548 1.042285 -0.034972
 1085.000052 -1.275183 1.162834 0.181254
 1090.000052 -1.368986 1.390717 0.191273
 1095.000052 -1.267164 1.476848 -0.164073
 1100.000052 -1.195143 1.067863 -0.160707
 1105.000052 -2.390912 2.792912 -0.138011
 1110.000053 -2.459947 2.849808 0.278452
 1115.000053 -2.519526 2.414188 -0.186926
 1120.000053 -1.969489 2.634524 0.008584
 1125.000053 -2.522123 2.336229 0.192089
 1130.000054 -2.418810 2.681925 -0.106771
 1135.000054 -1.986457 0.940590 0.164467
 1140.000054 -1.461460 1.163310 0.051701
 1145.000054 -1.430278 1.014434 0.288207
 1150.000055 -1.278908 1.047846 -0.186425
 1155.000055 -1.453859 1.276178 0.172851
 1160.000055 -1.359306 0.907456 -0.019961
 1165.000055 -1.409416 1.041602 -0.146283
 1170.000056 -1.305484 -0.212294 0.160453
 1175.000056 -1.845614 2.398837 -0.227133
 1180.000056 -1.607537 1.519707 0.129260
 1185.000056 -1.544180 1.101424 0.172306
 1190.000057 -1.485612 0.568904 0.414850
 1195.000057 -2.453052 2.549230 0.098165
 1200.000057 -2.145675 2.259066 -0.068372
 1205.000057 -1.550754 1.215218 -0.042172
 1210.000057 -1.376021 1.017749 0.051756
 1215.000058 -1.532638 1.290810 0.178737
 1220.000058 -1.268880 0.807685 -0.026430
 1225.000058 -1.499277 1.415846 -0.123312
 1230.000058 -1.688140 1.173499 0.050994
 1235.000059 -1.643652 1.006403 0.207072
 1240.000059 -1.388634 0.998594 0.157146
