#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 2340.000111 -1.594803 1.529919 0.041037
 2350.000112 -2.676552 -2.656814 -0.200542
 2360.000112 -2.000490 1.472387 -0.217456
 2370.000113 -2.191391 2.456055 -0.450130
 2380.000113 -2.647717 2.514937 -0.121324
 2390.000114 -1.597849 1.122613 0.594576
 2400.000114 1.206201 -0.996157 -0.129486
 2410.000114 1.255407 -0.731154 -0.099912
 2420.000115 1.131218 -0.421361 -0.011319
 2430.000115 1.207472 -1.203445 0.288274
 2440.000116 -1.474443 -0.531931 0.085670
 2450.000116 -2.161063 0.525927 0.210024
 2460.000117 -0.938266 2.027830 -0.609035
 2470.000117 -2.779746 2.974601 0.081846
 2480.000118 -0.989638 2.125605 -0.298760
 2490.000118 -1.298402 0.995629 0.214603
 2500.000119 -1.855733 2.419043 -0.111695
 2510.000119 -2.313835 -3.099846 0.412777
 2520.000120 -1.359847 1.042315 -0.106291
 2530.000120 -1.085146 1.037036 -0.236061
 2540.000121 -1.771975 1.574741 0.170873
 2550.000121 -1.498873 0.432704 0.375888
 2560.000122 -1.314098 1.851887 -0.260049
 2570.000122 -2.467749 2.282205 -0.512614
 2580.000123 -3.102784 2.557908 -0.185068
 2590.000123 -1.320419 1.479013 -0.223997
 2600.000123 -1.376943 1.050489 -0.296222
 2610.000124 -1.401497 1.100472 0.268281
 2620.000124 -2.561329 2.567951 0.053079
 2630.000125 -1.039141 -0.134095 0.146737
 2640.000125 -2.644577 1.188670 0.292428
 2650.000126 -1.043112 2.551364 -0.587196
 2660.000126 -2.990837 2.764538 0.007877
 2670.000127 -1.458709 1.130496 -0.090769
 2680.000127 -1.484252 0.362105 0.139988
 2690.000128 -1.327402 2.304640 -0.127043
 2700.000128 -1.737610 0.677135 0.120724
 2710.000129 -1.802738 3.032831 -0.051347
 2720.000129 -2.863188 -2.690189 0.126759
