#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 2790.000133 -1.692966 1.216149 -0.055449
 2800.000133 -1.518802 2.394102 -0.122985
 2810.000133 -1.632877 1.144556 0.254527
 2820.000134 -1.158125 2.153502 -0.329198
 2830.000134 -2.256056 2.469290 -0.026052
 2840.000135 -1.263582 2.011102 -0.405365
 2850.000135 -1.944691 2.428900 -0.509247
 2860.000136 -2.591381 2.673442 0.004504
 2870.000136 -1.647759 -3.105138 0.191599
 2880.000137 -1.722021 1.497269 -0.082809
 2890.000137 -1.160170 1.061916 -0.224285
 2900.000138 -1.579127 1.088097 0.184960
 2910.000138 -1.212049 1.982884 0.013153
 2920.000139 -1.525350 1.108350 -0.113894
 2930.000139 -1.047267 2.553243 -0.534398
 2940.000140 -1.235828 1.073574 0.115915
 2950.000140 -0.904773 0.026061 0.074687
 2960.000141 -1.382064 0.801142 0.329356
 2970.000141 -1.685568 3.018130 -0.145779
 2980.000142 -1.211648 1.802016 -0.180295
 2990.000142 -1.253701 0.757632 0.410722
 3000.000142 -1.556889 1.340646 0.008419
 3010.000143 -2.482637 2.064530 -0.358710
 3020.000143 -1.071561 1.617355 -0.317196
 3030.000144 -1.288902 1.017115 -0.036207
 3040.000144 -1.344970 2.423450 -0.250139
 3050.000145 -2.883955 2.635219 0.021468
 3060.000145 -2.674261 2.817662 0.172030
 3070.000146 -1.411206 2.319885 -0.099077
 3080.000146 -2.489335 2.969546 -0.284720
 3090.000147 -2.372335 2.986644 0.199345
 3100.000147 -2.851402 2.566577 -0.049130
 3110.000148 -2.670843 1.998082 -0.050651
 3120.000148 -2.857751 2.758243 0.309112
 3130.000149 -1.108530 0.861799 0.130858
 3140.000149 -2.673517 2.504518 -0.273664
 3150.000150 -3.064665 2.917520 0.110828
 3160.000150 -1.266757 0.653019 -0.262989
 3170.000151 -1.967392 3.015144 -0.012782
 3180.000151 -1.678587 2.422986 -0.207824
 3190.000152 -1.449244 1.520027 0.135472
 3200.000152 -1.412358 0.994925 0.291543
 3210.000152 -1.261275 0.277040 -0.093286
 3220.000153 -1.464499 0.942677 0.121133
 3230.000153 -0.993546 -0.484300 -0.165390
 3240.000154 -1.270042 2.854687 -0.086524
 3250.000154 -1.151520 -0.331224 0.121829
 3260.000155 -2.366045 2.194209 -0.013983
 3270.000155 -1.233729 1.540984 -0.078464
 3280.000156 -1.591588 0.441807 -0.088999
 3290.000156 -1.191211 1.310930 0.033201
 3300.000157 -2.538897 2.850662 -0.051374
 3310.000157 -2.767515 3.013532 0.051799
 3320.000158 -2.448646 0.866456 0.246279
 3330.000158 -2.305051 2.382202 -0.424437
 3340.000159 -1.710258 0.239094 0.288304
 3350.000159 -1.408576 1.416050 0.125106
 3360.000160 -1.631622 1.813795 0.254248
 3370.000160 -1.571151 2.101205 -0.088412
 3380.000161 -2.066555 3.051951 -0.135861
 3390.000161 -1.121434 -0.193542 0.141087
 3400.000161 -2.454822 2.329432 -0.130552
 3410.000162 -1.565565 2.525327 0.346825
 3420.000162 -2.395762 2.503426 0.006678
 3430.000163 -2.621329 -2.915774 -0.048605
 3440.000163 -2.243329 2.794061 -0.135011
 3450.000164 -1.337760 1.194839 -0.254422
 3460.000164 -2.780105 2.152837 0.092027
 3470.000165 -2.184121 -3.116222 -0.083085
 3480.000165 -1.734139 2.616547 -0.276708
 3490.000166 -1.802726 1.786786 0.140596
 3500.000166 -1.073442 2.265962 -0.008019
 3510.000167 -2.942564 2.869137 0.055140
 3520.000167 -0.990954 1.356389 -0.431740
 3530.000168 -1.377179 1.000509 -0.212885
 3540.000168 -2.395913 2.811063 -0.177156
 3550.000169 -1.268682 0.889880 -0.071768
 3560.000169 -1.444687 1.416323 0.163579
 3570.000170 -2.794612 2.628302 -0.187541
 3580.000170 -1.348332 0.268835 -0.148925
 3590.000171 -1.472653 2.583816 0.142573
 3600.000171 -1.071100 2.915841 -0.009149
 3610.000171 -2.131987 1.653066 0.296538
 3620.000172 -2.731877 2.809409 -0.013570
 3630.000172 -1.582043 0.728101 0.259226
 3640.000173 -1.068808 0.253610 -0.194875
 3650.000173 -1.421162 1.619761 -0.020474
 3660.000174 -1.332501 1.417461 -0.043464
 3670.000174 -1.499617 1.782877 0.142754
 3680.000175 -2.044692 2.191625 -0.701759
 3690.000175 -1.228128 0.678250 0.094113
 3700.000176 -1.402212 1.678987 -0.002173
 3710.000176 -1.730804 0.410641 0.297641
 3720.000177 -2.238680 2.646840 0.217159
 3730.000177 -1.921613 0.017056 0.561019
 3740.000178 -1.374592 0.826612 -0.047539
 3750.000178 -1.453754 0.619934 -0.195292
 3760.000179 -1.513337 0.844063 -0.022661
 3770.000179 -2.301179 2.904874 0.160068
 3780.000180 -2.271763 2.679962 -0.084195
 3790.000180 -2.173530 2.531439 -0.194477
 3800.000180 -1.373256 -0.025579 -0.120433
 3810.000181 -2.591675 2.396011 0.041678
 3820.000181 -2.275892 2.458812 -0.388093
 3830.000182 -2.463688 -3.083617 -0.126675
 3840.000182 -0.943718 0.202757 -0.194288
 3850.000183 -1.561679 0.581531 -0.153529
 3860.000183 -2.077945 3.014693 -0.423550
 3870.000184 -0.681187 -0.375231 -0.003220
 3880.000184 -2.881511 2.912027 0.033069
 3890.000185 -1.586052 1.284566 0.126483
 3900.000185 -1.070260 1.371523 -0.153669
 3910.000186 -2.019487 2.798306 0.132733
 3920.000186 -1.369607 2.226959 -0.012220
 3930.000187 -0.880996 0.009298 -0.208835
 3940.000187 -2.725112 3.126876 -0.001833
 3950.000188 -1.523135 0.781543 -0.042225
 3960.000188 -1.394997 0.854211 -0.138424
 3970.000189 -1.318253 2.444378 -0.342703
 3980.000189 -1.414737 0.689784 0.073413
 3990.000190 -1.654464 1.493171 -0.033848
 4000.000190 -1.427208 0.435680 0.140737
 4010.000190 -1.429856 0.917718 -0.116522
 4020.000191 -2.646546 2.657844 -0.011860
 4030.000191 -2.453392 3.006670 0.153211
 4040.000192 -1.693090 0.049679 0.126153
 4050.000192 -2.249198 0.571114 -0.145666
 4060.000193 -1.609312 0.620908 -0.158425
 4070.000193 -2.416190 -0.068531 -0.075808
 4080.000194 -1.495197 0.890714 0.037121
 4090.000194 -1.598373 -0.237019 0.239064
 4100.000195 -1.611094 0.447189 0.713382
 4110.000195 -1.845849 1.899847 -0.380053
 4120.000196 -1.497093 0.714972 0.204880
 4130.000196 -2.182150 2.281057 0.174444
 4140.000197 -1.365516 0.653967 0.090527
 4150.000197 -1.205139 1.307987 -0.159004
 4160.000198 -1.395478 0.523075 0.288029
 4170.000198 -1.390477 2.348457 -0.165620
 4180.000199 -2.372636 2.437381 -0.019386
 4190.000199 -1.893906 2.611702 0.093878
 4200.000199 -2.695220 2.485889 -0.192726
 4210.000200 -1.633182 0.818162 0.261244
 4220.000200 -2.631137 2.533636 0.101561
 4230.000201 -1.337150 1.527845 0.240134
 4240.000201 -1.261988 1.227101 -0.168504
 4250.000202 -1.100018 1.871019 -0.038335
 4260.000202 -1.309454 0.368661 0.105472
 4270.000203 -1.243040 0.832494 0.125296
 4280.000203 -2.476719 3.106158 0.061919
 4290.000204 -1.521615 0.534216 0.459470
 4300.000204 -2.559648 1.888841 0.363251
 4310.000205 -1.089648 1.080325 -0.189542
 4320.000205 -1.755757 1.086931 0.518494
 4330.000206 -1.096632 2.836117 0.002082
 4340.000206 -1.430178 1.111140 -0.082275
 4350.000207 -1.671118 1.920093 0.096747
 4360.000207 -1.360034 1.130229 0.163321
 4370.000208 -1.423086 1.833171 -0.198362
 4380.000208 -1.156594 0.534495 0.041750
 4390.000209 -2.375028 1.232113 0.147342
 4400.000209 -1.450391 2.496509 0.173102
 4410.000209 -1.615929 0.430122 0.055928
 4420.000210 -1.404130 0.584602 -0.282493
 4430.000210 -2.427190 2.576428 0.271848
 4440.000211 -1.680630 0.133552 0.149425
 4450.000211 -2.668280 2.961237 0.216938
 4460.000212 -1.096917 0.859673 -0.306490
 4470.000212 -1.929148 2.423215 0.295453
 4480.000213 -1.338100 0.299700 0.672024
 4490.000213 -1.135769 2.546141 -0.253595
 4500.000214 -1.546589 1.155362 -0.047001
 4510.000214 -1.615281 0.798729 0.222752
 4520.000215 -2.105003 2.205017 -0.170727
 4530.000215 -1.969685 2.445069 -0.165542
 4540.000216 -1.621621 2.584456 0.047447
 4550.000216 -1.386343 0.689592 -0.037430
 4560.000217 -1.322729 2.076887 -0.025237
 4570.000217 -1.353126 0.073724 -0.160719
 4580.000218 -1.305437 1.890943 -0.216231
 4590.000218 -1.213378 1.572467 -0.234229
 4600.000218 -1.386114 0.606986 -0.022898
 4610.000219 -1.281714 0.926940 -0.132117
 4620.000219 -2.223473 1.999151 -0.090372
 4630.000220 -1.788645 2.390741 -0.295895
 4640.000220 -1.438853 1.024103 0.128435
 4650.000221 -2.422122 2.967474 -0.260118
 4660.000221 -1.577296 1.133112 0.053815
 4670.000222 -2.395389 2.707282 -0.148327
 4680.000222 -1.258613 1.224445 -0.365299
 4690.000223 -1.722949 1.369845 0.064943
 4700.000223 -2.640932 2.899308 0.059570
 4710.000224 0.763467 -0.005823 0.091048
 4720.000224 1.030241 -0.444492 -0.112215
 4730.000225 1.235624 -1.414043 -0.158177
 4740.000225 1.142909 -0.257214 -0.127925
 4750.000226 1.071702 -0.808771 0.106504
 4760.000226 1.133622 -0.889267 -0.212675
 4770.000227 -1.636023 1.554484 -0.041242
 4780.000227 -1.979698 2.682698 -0.119828
 4790.000228 -1.073077 0.885410 -0.252478
